Hair Style Name,Normal Price (N$),Barber,Weather,Environment Noise Level,Head Shape,Customer Reaction,Discount Percent,Age Group,Pre Hair Length,Physical Height (m),Body Mass (kg),Date (DDMMYYYY),Client Skin Tone,Styling Time (minutes)
Panga,20,Leo,Cold,Low,Oval,Happy,0,20-29,Long,1.7029091152960791,51,2/04/2020,Light,48
Panga,80,Leo,Cold,Moderate,Heart,Worried,0,20-29,Long,1.6809035115007143,52,2/04/2020,Dark,43
Panga,20,Ben,Cold,Loud,Square,Tired,10,20-29,Long,1.5301959608658813,57,2/04/2020,Dark,47
Panga,50,Tom,Cold,Loud,Heart,Happy,10,20-29,Long,1.5448953407412753,54,2/04/2020,Light,41
Panga,60,Ben,Cold,Low,Oval,Worried,10,20-29,Long,1.5199905216042051,51,2/04/2020,Dark,53
Panga,80,Leo,Cold,Low,Heart,Happy,15,20-29,Long,1.8738248770720058,51,2/04/2020,Light,41
Panga,50,Ben,Cold,Loud,Pear,Relaxed,15,20-29,Long,1.5619689428199457,50,2/04/2020,Dark,54
Panga,80,Tom,Cold,Loud,Square,Hurried,10,20-29,Long,1.5290545078814832,56,2/04/2020,Light,56
Panga,80,Ben,Cold,Low,Square,Serious,10,20-29,Long,1.5024488313414652,60,2/04/2020,Light,54
Panga,60,Tom,Cold,Low,Triangular,Serious,10,20-29,Long,1.5219798906413964,51,2/04/2020,Dark,56
Panga,60,Ben,Cold,Moderate,Triangular,Serious,0,20-29,Long,1.5596254867582955,52,3/04/2020,Light,42
Panga,80,Ben,Cold,Low,Round,Happy,10,20-29,Long,1.761531542878735,57,3/04/2020,Dark,43
Panga,80,Leo,Cold,Low,Round,Serious,20,20-29,Long,1.7329336627648164,55,3/04/2020,Dark,46
Panga,80,Tom,Cold,Loud,Triangular,Worried,15,20-29,Long,1.8675470114627242,52,3/04/2020,Dark,48
Panga,50,Leo,Cold,Loud,Round,Happy,10,20-29,Long,1.8063007730814313,60,3/04/2020,Light,42
Panga,20,Leo,Cold,Low,Oval,Relaxed,10,20-29,Long,1.7991329587542761,57,3/04/2020,Light,55
Panga,60,Ben,Cold,Loud,Pear,Serious,15,20-29,Long,1.6742598486323823,57,3/04/2020,Dark,52
Panga,80,Leo,Cold,Low,Round,Hurried,10,20-29,Long,1.6812248721898824,55,3/04/2020,Light,60
Panga,80,Leo,Cold,Low,Triangular,Tired,20,20-29,Long,1.635589056811616,54,3/04/2020,Light,59
Panga,80,Ben,Cold,Low,Triangular,Relaxed,20,20-29,Long,1.7435480429938472,56,3/04/2020,Dark,42
Panga,50,Leo,Cold,Low,Round,Relaxed,20,20-29,Long,1.6995413919382032,52,3/04/2020,Light,46
Panga,80,Leo,Cold,Moderate,Pear,Hurried,0,20-29,Long,1.5871036328813621,55,3/04/2020,Dark,47
Panga,80,Leo,Cold,Loud,Pear,Happy,0,20-29,Long,1.7844674820794295,55,3/04/2020,Light,60
Panga,80,Ben,Cold,Moderate,Square,Worried,15,20-29,Long,1.5139425949583978,58,3/04/2020,Dark,45
Panga,50,Ben,Cold,Moderate,Triangular,Happy,15,20-29,Long,1.8682355589697632,53,4/04/2020,Dark,48
Panga,50,Leo,Cold,Moderate,Heart,Serious,0,20-29,Long,1.7325164813926777,54,4/04/2020,Light,59
Panga,80,Ben,Cold,Loud,Square,Happy,10,20-29,Long,1.701421904641544,57,4/04/2020,Light,41
Panga,50,Leo,Cold,Loud,Oval,Tired,20,20-29,Long,1.8640802176982523,50,4/04/2020,Dark,56
Panga,80,Tom,Cold,Moderate,Round,Relaxed,20,20-29,Long,1.6281677232744187,59,4/04/2020,Dark,49
Panga,80,Tom,Cold,Moderate,Triangular,Hurried,10,20-29,Long,1.647682840504602,57,4/04/2020,Light,45
Panga,60,Ben,Cold,Moderate,Triangular,Serious,10,20-29,Long,1.6738861284052697,60,4/04/2020,Light,42
Panga,70,Ben,Cold,Moderate,Square,Worried,0,20-29,Long,1.721800419787326,51,4/04/2020,Light,50
Panga,80,Leo,Cold,Loud,Oval,Happy,15,20-29,Long,1.5010188946480405,60,4/04/2020,Dark,42
Panga,50,Leo,Cold,Low,Round,Serious,15,20-29,Long,1.7575967946028548,56,4/04/2020,Dark,51
Panga,70,Leo,Cold,Loud,Round,Tired,15,20-29,Long,1.8757676796594482,52,4/04/2020,Light,56
Panga,50,Leo,Cold,Loud,Triangular,Serious,10,20-29,Long,1.8887222189535908,57,4/04/2020,Light,46
Panga,80,Tom,Cold,Moderate,Heart,Worried,20,20-29,Long,1.7537045306570853,60,4/04/2020,Light,40
Panga,60,Leo,Cold,Moderate,Heart,Relaxed,20,20-29,Long,1.8280473337444507,52,4/04/2020,Light,56
Panga,50,Tom,Cold,Loud,Round,Hurried,10,20-29,Long,1.7536352027347526,51,5/04/2020,Dark,50
Panga,80,Leo,Cold,Loud,Round,Relaxed,20,20-29,Long,1.7498074920229485,60,5/04/2020,Dark,49
Panga,80,Ben,Cold,Moderate,Round,Hurried,20,20-29,Long,1.7800901047081075,52,5/04/2020,Dark,53
Panga,70,Leo,Cold,Low,Heart,Relaxed,15,20-29,Long,1.5567510365554331,54,5/04/2020,Light,51
Panga,50,Ben,Cold,Low,Round,Tired,15,20-29,Long,1.8979050737673275,56,5/04/2020,Light,47
Panga,70,Leo,Cold,Low,Heart,Tired,20,20-29,Long,1.8866058818745848,52,5/04/2020,Light,60
Panga,60,Tom,Cold,Loud,Triangular,Tired,15,20-29,Long,1.8091580158092802,50,5/04/2020,Light,55
Panga,80,Tom,Cold,Moderate,Triangular,Hurried,0,20-29,Long,1.8087983291856327,50,5/04/2020,Light,41
Panga,80,Ben,Cold,Loud,Heart,Tired,20,20-29,Long,1.6631374872089901,55,5/04/2020,Dark,46
Panga,20,Leo,Cold,Loud,Pear,Worried,10,20-29,Long,1.616732883738727,60,5/04/2020,Light,46
Panga,50,Leo,Cold,Low,Heart,Hurried,0,20-29,Long,1.6681428248163528,57,5/04/2020,Light,55
Panga,80,Ben,Cold,Moderate,Triangular,Hurried,10,20-29,Long,1.5830459066716727,59,5/04/2020,Light,52
Panga,80,Ben,Cold,Low,Square,Tired,0,20-29,Long,1.6901364513988988,51,5/04/2020,Light,42
Panga,80,Ben,Cold,Moderate,Oval,Relaxed,20,20-29,Long,1.6756608455198982,58,5/04/2020,Dark,42
Panga,80,Ben,Cold,Loud,Heart,Worried,15,20-29,Long,1.5089220496447264,57,6/04/2020,Dark,47
Panga,20,Ben,Cold,Low,Square,Relaxed,15,20-29,Long,1.772419938885978,55,6/04/2020,Light,55
Panga,80,Tom,Cold,Moderate,Round,Happy,15,20-29,Long,1.7777660361281662,60,6/04/2020,Dark,41
Panga,60,Ben,Cold,Loud,Triangular,Hurried,10,20-29,Long,1.515672884833216,60,6/04/2020,Dark,49
Panga,80,Leo,Cold,Moderate,Pear,Relaxed,20,20-29,Long,1.8590932688370565,59,6/04/2020,Dark,47
Panga,80,Ben,Cold,Low,Square,Happy,0,20-29,Long,1.6635855769375785,60,6/04/2020,Light,46
Panga,70,Tom,Cold,Low,Triangular,Tired,10,20-29,Long,1.7174982034947477,53,6/04/2020,Dark,46
Panga,80,Tom,Cold,Loud,Square,Relaxed,20,20-29,Long,1.7431332820562555,51,6/04/2020,Light,44
Panga,70,Tom,Cold,Low,Square,Serious,0,20-29,Long,1.5465216410560199,59,6/04/2020,Dark,42
Panga,20,Ben,Cold,Low,Square,Worried,10,20-29,Long,1.6469290170428006,54,6/04/2020,Dark,46
Panga,70,Leo,Cold,Moderate,Oval,Happy,0,20-29,Long,1.6367270647607297,51,6/04/2020,Light,44
Panga,80,Leo,Cold,Moderate,Round,Serious,20,20-29,Long,1.613917652460176,53,6/04/2020,Dark,44
Panga,80,Leo,Cold,Low,Round,Worried,10,20-29,Long,1.6890667683647649,53,6/04/2020,Light,59
Panga,80,Leo,Cold,Low,Oval,Worried,0,20-29,Long,1.7355869090027607,59,6/04/2020,Dark,41
Panga,80,Leo,Cold,Loud,Pear,Worried,15,20-29,Long,1.6170463409872329,53,7/04/2020,Light,58
Panga,80,Leo,Cold,Loud,Oval,Tired,10,20-29,Long,1.6141895968490019,59,7/04/2020,Dark,45
Panga,60,Ben,Cold,Low,Triangular,Serious,20,20-29,Long,1.5013672056361655,58,7/04/2020,Light,57
Panga,80,Ben,Cold,Loud,Square,Relaxed,10,20-29,Long,1.7652007677542507,55,7/04/2020,Light,50
Panga,50,Ben,Cold,Low,Heart,Happy,15,20-29,Long,1.5035119223596498,52,7/04/2020,Dark,46
Panga,80,Leo,Cold,Loud,Square,Tired,20,20-29,Long,1.7712417751930967,57,7/04/2020,Dark,49
Panga,80,Ben,Cold,Low,Square,Worried,10,20-29,Long,1.7771299843983195,59,7/04/2020,Light,46
Panga,80,Leo,Cold,Moderate,Pear,Tired,20,20-29,Long,1.5819513662445899,60,7/04/2020,Light,45
Panga,70,Leo,Cold,Loud,Pear,Worried,0,20-29,Long,1.5611985896768081,51,7/04/2020,Dark,47
Panga,20,Ben,Cold,Loud,Heart,Relaxed,15,20-29,Long,1.7227541916366336,56,7/04/2020,Dark,55
Panga,50,Leo,Cold,Loud,Round,Worried,10,20-29,Long,1.6554188640418235,57,7/04/2020,Dark,53
Panga,70,Leo,Cold,Loud,Pear,Relaxed,20,20-29,Long,1.5549771937487977,53,7/04/2020,Dark,45
Panga,20,Leo,Cold,Low,Square,Tired,10,20-29,Long,1.7736044921035101,58,7/04/2020,Dark,56
Panga,80,Leo,Cold,Low,Triangular,Worried,0,20-29,Long,1.5243382326606914,60,7/04/2020,Dark,45
Panga,80,Leo,Cold,Moderate,Triangular,Hurried,0,20-29,Long,1.5864679434543585,58,8/04/2020,Light,40
Panga,80,Tom,Cold,Moderate,Round,Hurried,10,20-29,Long,1.630980441706375,59,8/04/2020,Light,53
Panga,70,Leo,Cold,Loud,Round,Hurried,20,20-29,Long,1.7435604942258391,59,8/04/2020,Light,56
Panga,60,Tom,Cold,Moderate,Round,Tired,10,20-29,Long,1.679150649043366,57,8/04/2020,Dark,46
Panga,60,Tom,Cold,Low,Round,Serious,20,20-29,Long,1.8489195882331517,59,8/04/2020,Dark,50
Panga,20,Tom,Cold,Low,Triangular,Hurried,0,20-29,Long,1.6167679926182037,50,8/04/2020,Light,51
Panga,70,Leo,Cold,Low,Heart,Hurried,20,20-29,Long,1.5323242431444482,58,8/04/2020,Dark,47
Panga,60,Tom,Cold,Moderate,Heart,Relaxed,10,20-29,Long,1.5425921509187193,58,8/04/2020,Light,48
Panga,50,Tom,Cold,Low,Pear,Worried,20,20-29,Long,1.8163944417686326,54,8/04/2020,Light,47
Panga,50,Leo,Cold,Low,Pear,Happy,15,20-29,Long,1.845681906713032,55,8/04/2020,Light,43
Panga,50,Tom,Cold,Low,Pear,Hurried,15,20-29,Long,1.8188995833272301,53,8/04/2020,Light,52
Panga,20,Leo,Cold,Loud,Round,Hurried,20,20-29,Long,1.5180633980283949,53,8/04/2020,Light,43
Panga,50,Leo,Cold,Loud,Triangular,Tired,20,20-29,Long,1.602424365327672,50,8/04/2020,Light,59
Panga,80,Tom,Cold,Loud,Square,Worried,15,20-29,Long,1.7853293865049553,52,8/04/2020,Light,52
Panga,60,Ben,Cold,Moderate,Round,Serious,0,20-29,Long,1.864447194860836,59,9/04/2020,Light,57
Panga,70,Tom,Cold,Moderate,Square,Worried,0,20-29,Long,1.6002988849097088,60,9/04/2020,Dark,53
Panga,80,Ben,Cold,Low,Triangular,Tired,20,20-29,Long,1.8987346340389386,57,9/04/2020,Light,46
Panga,80,Tom,Cold,Loud,Oval,Happy,15,20-29,Long,1.6909124153843997,58,9/04/2020,Dark,44
Panga,60,Leo,Cold,Moderate,Oval,Tired,15,20-29,Long,1.6143357207386093,52,9/04/2020,Light,48
Panga,50,Ben,Cold,Low,Pear,Worried,20,20-29,Long,1.6114485234537193,59,9/04/2020,Dark,56
Panga,50,Ben,Cold,Moderate,Pear,Happy,15,20-29,Long,1.7125976163830983,55,9/04/2020,Light,45
Panga,70,Ben,Cold,Low,Round,Happy,0,20-29,Long,1.7614435829677715,52,9/04/2020,Light,46
Panga,80,Ben,Cold,Moderate,Oval,Tired,0,20-29,Long,1.5070869951035821,55,9/04/2020,Light,47
Panga,60,Ben,Cold,Moderate,Oval,Worried,0,20-29,Long,1.8945510781595696,56,9/04/2020,Light,46
Panga,50,Tom,Cold,Low,Triangular,Tired,10,20-29,Long,1.5616241852115782,59,9/04/2020,Light,43
Panga,80,Ben,Cold,Low,Pear,Worried,10,20-29,Long,1.7524891422685205,58,9/04/2020,Dark,48
Panga,80,Leo,Cold,Loud,Triangular,Serious,20,20-29,Long,1.7526776003358604,50,9/04/2020,Dark,43
Panga,80,Ben,Cold,Low,Oval,Relaxed,10,20-29,Long,1.5424066961719767,57,9/04/2020,Dark,49
Panga,80,Tom,Cold,Loud,Oval,Hurried,0,20-29,Long,1.5138740080526452,55,10/04/2020,Light,46
Panga,20,Ben,Cold,Moderate,Pear,Worried,15,20-29,Long,1.8051409727407863,57,10/04/2020,Light,45
Panga,20,Ben,Cold,Low,Heart,Worried,15,20-29,Long,1.7032730179913962,52,10/04/2020,Light,55
Panga,60,Leo,Cold,Loud,Square,Happy,20,20-29,Long,1.5322091891853795,59,10/04/2020,Light,53
Panga,60,Ben,Cold,Low,Heart,Serious,10,20-29,Long,1.6457682136658274,56,10/04/2020,Light,59
Panga,70,Tom,Cold,Moderate,Oval,Worried,10,20-29,Long,1.6978541325684298,53,10/04/2020,Dark,47
Panga,80,Tom,Cold,Loud,Triangular,Serious,0,20-29,Long,1.639409319454127,50,10/04/2020,Light,42
Panga,20,Leo,Cold,Loud,Pear,Serious,10,20-29,Long,1.8886476083526553,56,10/04/2020,Dark,53
Panga,50,Tom,Cold,Loud,Pear,Tired,15,20-29,Long,1.6476896452452083,57,10/04/2020,Dark,50
Panga,80,Ben,Cold,Loud,Oval,Relaxed,20,20-29,Long,1.7112924983528968,51,10/04/2020,Light,42
Panga,80,Ben,Cold,Moderate,Pear,Relaxed,20,20-29,Long,1.703845331581795,50,10/04/2020,Light,60
Panga,20,Tom,Cold,Moderate,Square,Worried,20,20-29,Long,1.6908466473319275,57,10/04/2020,Dark,54
Panga,50,Ben,Cold,Moderate,Round,Serious,0,20-29,Long,1.8402753351780112,50,10/04/2020,Dark,59
Panga,80,Ben,Cold,Moderate,Pear,Happy,15,20-29,Long,1.713979079305018,51,10/04/2020,Dark,60
Panga,20,Ben,Cold,Low,Round,Worried,20,20-29,Long,1.6825220383270003,59,11/04/2020,Dark,50
Panga,70,Ben,Cold,Low,Heart,Happy,20,20-29,Long,1.767696075785044,55,11/04/2020,Light,44
Panga,50,Ben,Cold,Moderate,Pear,Worried,20,20-29,Long,1.57316906588083,53,11/04/2020,Dark,41
Panga,20,Tom,Cold,Loud,Oval,Happy,15,20-29,Long,1.697582630206769,53,11/04/2020,Dark,54
Panga,80,Tom,Cold,Moderate,Heart,Happy,0,20-29,Long,1.714038565862891,53,11/04/2020,Dark,56
Panga,70,Ben,Cold,Loud,Heart,Hurried,10,20-29,Long,1.7016035524445785,55,11/04/2020,Light,51
Panga,20,Leo,Cold,Low,Round,Relaxed,10,20-29,Long,1.5787984866218479,55,11/04/2020,Light,58
Panga,80,Leo,Cold,Loud,Square,Happy,10,20-29,Long,1.5811774978963882,53,11/04/2020,Light,50
Panga,80,Tom,Cold,Moderate,Triangular,Hurried,0,20-29,Long,1.786671006826645,50,11/04/2020,Light,49
Panga,60,Leo,Cold,Loud,Triangular,Relaxed,0,20-29,Long,1.5336874316077023,53,11/04/2020,Dark,47
Panga,50,Ben,Cold,Loud,Square,Tired,0,20-29,Long,1.701932536012867,56,11/04/2020,Dark,43
Panga,80,Ben,Cold,Moderate,Pear,Worried,20,20-29,Long,1.6823484117740892,53,11/04/2020,Dark,57
Panga,80,Leo,Cold,Loud,Oval,Serious,15,20-29,Long,1.8368720035980983,58,11/04/2020,Light,54
Panga,20,Tom,Cold,Low,Pear,Tired,20,20-29,Long,1.8739703882811642,55,11/04/2020,Dark,57
Panga,80,Leo,Cold,Moderate,Square,Tired,10,20-29,Long,1.8537267955507464,56,12/04/2020,Dark,57
Panga,70,Tom,Cold,Moderate,Square,Tired,15,20-29,Long,1.7940411751264547,55,12/04/2020,Light,52
Panga,60,Leo,Cold,Loud,Triangular,Tired,15,20-29,Long,1.8669985368404471,59,12/04/2020,Light,53
Panga,80,Tom,Cold,Moderate,Pear,Serious,0,20-29,Long,1.5897214689507195,57,12/04/2020,Light,57
Panga,80,Tom,Cold,Moderate,Heart,Serious,15,20-29,Long,1.5972148250023848,55,12/04/2020,Dark,48
Panga,80,Tom,Cold,Loud,Round,Serious,0,20-29,Long,1.871829123669595,57,12/04/2020,Dark,56
Panga,70,Tom,Cold,Moderate,Square,Worried,0,20-29,Long,1.5113972080887506,56,12/04/2020,Light,54
Panga,80,Leo,Cold,Low,Round,Relaxed,15,20-29,Long,1.7937306717875505,54,12/04/2020,Light,59
Panga,80,Ben,Cold,Loud,Oval,Happy,10,20-29,Long,1.6925395342662803,59,12/04/2020,Light,40
Panga,60,Tom,Cold,Loud,Heart,Relaxed,15,20-29,Long,1.5467661784142144,51,12/04/2020,Light,53
Panga,60,Ben,Cold,Loud,Round,Happy,10,20-29,Long,1.7393988822473843,51,12/04/2020,Dark,49
Panga,70,Leo,Cold,Low,Heart,Relaxed,15,20-29,Long,1.6651230750505273,56,12/04/2020,Light,48
Panga,80,Tom,Cold,Moderate,Square,Hurried,0,20-29,Long,1.899533921065848,53,12/04/2020,Light,40
Panga,20,Tom,Cold,Moderate,Oval,Hurried,15,20-29,Long,1.767455570518902,60,12/04/2020,Dark,60
Panga,50,Leo,Cold,Moderate,Triangular,Hurried,0,20-29,Long,1.7043092607807395,58,13/04/2020,Dark,54
Panga,50,Ben,Cold,Loud,Heart,Worried,20,20-29,Long,1.7488788019808628,53,13/04/2020,Light,54
Panga,60,Ben,Cold,Low,Pear,Hurried,15,20-29,Long,1.6168217495751427,54,13/04/2020,Dark,57
Panga,20,Leo,Cold,Moderate,Square,Relaxed,10,20-29,Long,1.6364511867837175,58,13/04/2020,Dark,40
Panga,50,Ben,Cold,Low,Oval,Worried,20,20-29,Long,1.7545392549735712,55,13/04/2020,Dark,49
Panga,80,Tom,Cold,Low,Oval,Worried,0,20-29,Long,1.689713601315666,53,13/04/2020,Dark,55
Panga,80,Tom,Cold,Moderate,Pear,Tired,10,20-29,Long,1.781151307840627,56,13/04/2020,Dark,58
Panga,80,Leo,Cold,Moderate,Square,Hurried,0,20-29,Long,1.7215296272807403,54,13/04/2020,Light,47
Panga,20,Tom,Cold,Loud,Oval,Worried,0,20-29,Long,1.7107647235765742,53,13/04/2020,Dark,52
Panga,80,Leo,Cold,Low,Round,Tired,10,20-29,Long,1.8445505270966378,60,13/04/2020,Light,53
Panga,80,Leo,Cold,Loud,Round,Happy,0,20-29,Long,1.7911628317985502,59,13/04/2020,Light,47
Panga,70,Leo,Cold,Moderate,Pear,Relaxed,0,20-29,Long,1.6778548970313176,59,13/04/2020,Dark,51
Panga,80,Ben,Cold,Moderate,Triangular,Tired,10,20-29,Long,1.8636902313003976,59,13/04/2020,Light,55
Panga,80,Leo,Cold,Moderate,Oval,Tired,0,20-29,Long,1.509169959960367,50,13/04/2020,Dark,45
Panga,20,Ben,Cold,Low,Triangular,Hurried,0,20-29,Long,1.6551307740027454,50,14/04/2020,Light,49
Panga,80,Ben,Cold,Loud,Triangular,Hurried,0,20-29,Long,1.7140417128070944,58,14/04/2020,Dark,48
Panga,80,Ben,Cold,Loud,Pear,Serious,10,20-29,Long,1.8189822556230961,58,14/04/2020,Light,46
Panga,80,Leo,Cold,Loud,Square,Relaxed,10,20-29,Long,1.8590669014824937,52,14/04/2020,Dark,42
Panga,80,Leo,Cold,Low,Heart,Tired,15,20-29,Long,1.665025943570193,59,14/04/2020,Dark,55
Panga,50,Leo,Cold,Moderate,Round,Serious,20,20-29,Long,1.766098735934398,58,14/04/2020,Light,41
Panga,70,Tom,Cold,Low,Pear,Hurried,0,20-29,Long,1.8302383939885987,57,14/04/2020,Light,42
Panga,50,Ben,Cold,Loud,Triangular,Serious,20,20-29,Long,1.7527745740576703,60,14/04/2020,Light,41
Panga,80,Tom,Cold,Loud,Triangular,Worried,15,20-29,Long,1.7958623520381742,60,14/04/2020,Light,45
Panga,80,Leo,Cold,Low,Triangular,Tired,15,20-29,Long,1.876634555287314,52,14/04/2020,Light,46
Panga,60,Ben,Cold,Moderate,Oval,Relaxed,15,20-29,Long,1.7170509233932885,55,14/04/2020,Light,59
Panga,80,Ben,Cold,Loud,Oval,Relaxed,15,20-29,Long,1.5023354995600882,59,14/04/2020,Light,60
Panga,80,Ben,Cold,Low,Oval,Tired,10,20-29,Long,1.8689229808234686,54,14/04/2020,Dark,60
Panga,80,Tom,Cold,Loud,Square,Worried,10,20-29,Long,1.5806614915572288,51,14/04/2020,Light,59
Panga,60,Tom,Cold,Loud,Oval,Hurried,15,20-29,Long,1.8142977057685143,54,15/04/2020,Light,49
Panga,20,Ben,Cold,Loud,Pear,Relaxed,10,20-29,Long,1.5155092572930071,57,15/04/2020,Light,56
Panga,50,Leo,Cold,Loud,Pear,Happy,0,20-29,Long,1.5834065295847919,54,15/04/2020,Light,46
Panga,70,Leo,Cold,Moderate,Pear,Tired,15,20-29,Long,1.6522820760797656,50,15/04/2020,Dark,55
Panga,50,Ben,Cold,Moderate,Triangular,Relaxed,20,20-29,Long,1.51471056067221,54,15/04/2020,Dark,45
Panga,60,Tom,Cold,Moderate,Pear,Serious,10,20-29,Long,1.736912572601768,55,15/04/2020,Light,49
Panga,20,Tom,Cold,Moderate,Triangular,Worried,0,20-29,Long,1.711281849295095,50,15/04/2020,Light,52
Panga,50,Tom,Cold,Loud,Round,Hurried,20,20-29,Long,1.6570712578658644,58,15/04/2020,Light,60
Panga,80,Tom,Cold,Low,Oval,Serious,15,20-29,Long,1.7124903393308253,56,15/04/2020,Light,40
Panga,80,Ben,Cold,Moderate,Pear,Relaxed,20,20-29,Long,1.7662857971810138,51,15/04/2020,Dark,49
Panga,80,Tom,Cold,Loud,Round,Tired,15,20-29,Long,1.5388951128038224,56,15/04/2020,Dark,48
Panga,80,Leo,Cold,Loud,Pear,Relaxed,20,20-29,Long,1.7555616872121382,54,15/04/2020,Light,60
Panga,80,Tom,Cold,Low,Square,Hurried,0,20-29,Long,1.6154520074055767,60,15/04/2020,Light,51
Panga,20,Tom,Cold,Low,Triangular,Worried,10,20-29,Long,1.5827672347102792,51,15/04/2020,Dark,49
Panga,70,Leo,Cold,Loud,Triangular,Tired,0,20-29,Long,1.8595292315226637,54,16/04/2020,Light,55
Panga,20,Ben,Cold,Moderate,Square,Worried,20,20-29,Long,1.8337764960460452,55,16/04/2020,Light,51
Panga,80,Tom,Cold,Low,Square,Worried,10,20-29,Long,1.7966569803299648,54,16/04/2020,Dark,59
Panga,80,Ben,Cold,Loud,Round,Happy,20,20-29,Long,1.7739535027971252,51,16/04/2020,Light,49
Panga,70,Ben,Cold,Low,Triangular,Serious,0,20-29,Long,1.653751455515876,56,16/04/2020,Dark,58
Panga,80,Leo,Cold,Low,Pear,Tired,0,20-29,Long,1.5511324623979734,51,16/04/2020,Dark,44
Panga,20,Ben,Cold,Low,Pear,Hurried,15,20-29,Long,1.5822157077393273,56,16/04/2020,Dark,55
Panga,50,Leo,Cold,Loud,Heart,Tired,0,20-29,Long,1.5985536208250704,56,16/04/2020,Light,57
Panga,80,Ben,Cold,Moderate,Oval,Happy,15,20-29,Long,1.6556133273815903,56,16/04/2020,Dark,59
Panga,70,Ben,Cold,Low,Pear,Happy,0,20-29,Long,1.866919788332881,50,16/04/2020,Light,41
Panga,80,Leo,Cold,Low,Square,Relaxed,10,20-29,Long,1.8867521720896128,60,16/04/2020,Light,41
Panga,70,Leo,Cold,Loud,Heart,Happy,0,20-29,Long,1.8779937632805168,59,16/04/2020,Dark,49
Panga,60,Tom,Cold,Loud,Oval,Hurried,0,20-29,Long,1.830619265948819,56,16/04/2020,Dark,52
Panga,80,Ben,Cold,Moderate,Pear,Tired,15,20-29,Long,1.5664763310216943,50,16/04/2020,Dark,45
Panga,70,Tom,Cold,Low,Oval,Hurried,20,20-29,Long,1.567410429007522,56,17/04/2020,Dark,44
Panga,60,Tom,Cold,Moderate,Round,Serious,0,20-29,Long,1.7395624217431171,57,17/04/2020,Light,41
Panga,70,Ben,Cold,Moderate,Oval,Serious,15,20-29,Long,1.878250453417475,60,17/04/2020,Light,51
Panga,70,Tom,Cold,Low,Pear,Serious,20,20-29,Long,1.554849655679765,54,17/04/2020,Light,58
Panga,80,Leo,Cold,Low,Square,Relaxed,15,20-29,Long,1.7191559433017736,58,17/04/2020,Light,58
Panga,50,Tom,Cold,Low,Triangular,Happy,0,20-29,Long,1.7449745802637004,55,17/04/2020,Dark,50
Panga,80,Ben,Cold,Moderate,Round,Relaxed,10,20-29,Long,1.546444187206253,59,17/04/2020,Dark,60
Panga,80,Leo,Cold,Low,Round,Worried,10,20-29,Long,1.682300973894552,60,17/04/2020,Dark,60
Panga,70,Ben,Cold,Low,Oval,Serious,20,20-29,Long,1.8525011985593052,58,17/04/2020,Dark,44
Panga,50,Tom,Cold,Loud,Heart,Relaxed,0,20-29,Long,1.8526155030838323,51,17/04/2020,Light,49
